consent,school year,GPA,gender,race,citizen,English,Greek,major_class,double_major,num_class,num_credithrs,hrs_academics,hrs_extracurr,grad_degree,exam_prep,exam_sleep,alcohol,ill_drugs,pres_drugs,demanding,pressure,anxiety,scholarship_recipient,conduct,traum_event,knowledge_A,knowledge_B,knowledge_C,knowledge_D,knowledge_E,knowledge_F,knowledge_G,Exams_A,Exams_B,Exams_C,Exams_D,Exams_E,Exams_F,Exams_G,Exams_H,Exams_I,Writing_A,Writing_B,Writing_C,Writing_D,Writing_E,Writing_F,Writing_G,Collaboration_A,Collaboration_B,Collaboration_C,Collaboration_D,Other_A,Other_B,Other_C,Other_D,Other_E,Other_F,Other_G,Other_H,Other_I,Other_J,Other_K,Other_L,Other_M,Other_N,Other_O,why_A,why_B,why_C,why_D,why_E,why_F,why_G,why_H,why_I,why_J,why_K,why_never_A,why_never_B,why_never_C,why_never_D,why_never_E,why_never_F,aware_A,aware_B,aware_C,aware_D,aware_E,aware_F,aware_G,aware_H,aware_I,aware_J,aware_K,aware_L,aware_M,aware_N,aware_O,understanding,witness_A,witness_B,witness_C,witness_D,witness_E,witness_F,witness_G,witness_H,anticipate_exam,anticipate_writing,anticipate_collaboration,anticipate_other,hs,hs_exam,hs_writing,hs_collaboration,hs_other,hs_action,age_misconduct,aware_sanction,HC_comm
yes,Senior,3.5,Male,White/Caucasian,Yes,Yes,No,Natural Sciences,No,6,19,21,21,pre-med,>1week,8,3,"Yes, regularly",Never,5,8,3,no,Yes,Yes,unchecked,unchecked,checked,unchecked,checked,unchecked,unchecked,1 time,2-4 times,2-4 times,2-4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,>4 times,0 times,1 time,0 times,2-4 times,0 times,1 time,2-4 times,2-4 times,2-4 times,1 time,1 time,0 times,0 times,0 times,2-4 times,0 times,0 times,0 times,0 times,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,checked,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,6,"Yes, silent","Yes, silent","Yes, silent","Yes, silent","Yes, silent","Yes, silent","Yes, silent","Yes, silent",No,No,No,No,Public,2-4 times,2-4 times,0 times,>4 times,Somewhat,9,Yes,Somewhat
yes,Freshman,2.87,Male,White/Caucasian,Yes,Yes,No,Natural Sciences,No,5,14,35,6,pre-med,>1week,8,0,No,Never,7,8,9,no,No,No,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,No,No,No,No,No,No,No,No,No,No,No,No,Private,0 times,1 time,0 times,0 times,Yes,18,Yes,Somewhat
yes,Sophomore,3.3,Female,Black/African American,Yes,Yes,Yes,Humanities,Yes,5,18,15,15,pre-law,>1week,5,5,No,Never,5,8,6,yes,No,Yes,checked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,0 times,1 time,0 times,0 times,0 times,2-4 times,0 times,0 times,0 times,0 times,0 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,>4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,7,"Yes, silent","Yes, silent","Yes, silent","Yes, silent","Yes, silent","Yes, silent","Yes, silent","Yes, silent",No,No,No,No,Public,0 times,0 times,0 times,0 times,I don't know,19,Yes,Somewhat
yes,Sophomore,3.043,Female,White/Caucasian,Yes,Yes,No,Natural Sciences,Yes,5,17,18,3,other,>1week,7,0,No,Never,4,9,10,yes,No,Yes,unchecked,unchecked,checked,unchecked,checked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,checked,checked,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,8,No,No,No,No,No,No,No,No,No,No,No,No,Public,0 times,0 times,1 time,0 times,Yes,14,Yes,Yes
yes,Junior,3.44,Female,Black/African American,Yes,Yes,Yes,Natural Sciences,Yes,5,17,10,14,pre-med,2-3day,5,1,No,Never,5,9,8,yes,No,Yes,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,0 times,0 times,0 times,0 times,1 time,0 times,1 time,0 times,0 times,2-4 times,1 time,1 time,1 time,0 times,0 times,0 times,1 time,1 time,0 times,0 times,1 time,2-4 times,1 time,1 time,1 time,0 times,0 times,0 times,1 time,1 time,1 time,0 times,0 times,0 times,0 times,unchecked,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,8,"Yes, silent","Yes, silent",No,"Yes, silent","Yes, silent","Yes, silent","Yes, silent",No,No,No,No,No,Public,1 time,0 times,0 times,0 times,Somewhat,13,Yes,Yes
yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yes,Freshman,2.6,Female,White/Caucasian,Yes,Yes,No,Humanities,No,4,15,15,15,other,>1week,8,0,No,Never,8,9,9,no,No,No,checked,checked,checked,checked,checked,checked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,checked,checked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,No,No,No,No,No,No,No,No,No,No,No,No,Private,0 times,0 times,0 times,0 times,Yes,99,Yes,Yes
yes,Freshman,3.8,Male,Asian,Yes,Yes,No,Social Sciences,No,4,14,13,10,pre-law,2-3day,6,0,"Yes, occasionally",Never,8,8,5,yes,No,No,checked,checked,checked,checked,checked,checked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,checked,checked,checked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,"Yes, silent","Yes, silent",No,No,No,No,No,No,No,No,No,No,Private,0 times,0 times,0 times,0 times,No,99,No,Yes
yes,Sophomore,3.8,Female,Black/African American,Yes,Yes,No,Natural Sciences,Yes,5,17,35,4,pre-med,2-3day,4,1,"Yes, occasionally",Never,4,10,8,no,No,No,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,>4 times,>4 times,0 times,2-4 times,2-4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,>4 times,>4 times,>4 times,>4 times,0 times,1 time,>4 times,0 times,1 time,0 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,checked,checked,checked,unchecked,checked,unchecked,unchecked,checked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,"Yes, silent","Yes, silent","Yes, silent","Yes, silent","Yes, silent","Yes, silent","Yes, silent","Yes, silent",Maybe,Maybe,Maybe,Maybe,Public,>4 times,>4 times,>4 times,>4 times,Yes,12,Yes,Yes
yes,Freshman,3,Male,White/Caucasian,Yes,Yes,No,Natural Sciences,No,5,16,10,3,pre-med,>1week,8,0,No,Never,8,10,8,no,No,No,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,1 time,0 times,2-4 times,2-4 times,1 time,0 times,0 times,0 times,0 times,1 time,1 time,0 times,0 times,0 times,0 times,0 times,0 times,2-4 times,>4 times,1 time,1 time,2-4 times,>4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,1 time,0 times,0 times,0 times,unchecked,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,checked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9,"Yes, silent",No,No,No,No,No,No,No,Maybe,No,Yes,No,Public,2-4 times,0 times,>4 times,0 times,Somewhat,10,Yes,Yes
yes,Sophomore,3.38,Male,Asian,No,No,No,Social Sciences,Yes,6,20,20,10,none,>1week,8,0,No,Never,3,7,5,no,No,No,checked,checked,checked,checked,checked,unchecked,unchecked,0 times,0 times,0 times,0 times,>4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,>4 times,0 times,1 time,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,"Yes, silent","Yes, silent","Yes, silent","Yes, silent","Yes, silent","Yes, silent","Yes, silent","Yes, silent",No,No,No,No,Private,>4 times,>4 times,>4 times,>4 times,Yes,9,Yes,Yes
yes,Freshman,4,Female,White/Caucasian,Yes,Yes,Yes,Natural Sciences,No,4,18,20,10,pre-med,2-3day,5,7,"Yes, occasionally",Never,4,10,8,no,No,No,unchecked,unchecked,unchecked,unchecked,checked,checked,unchecked,0 times,0 times,0 times,0 times,0 times,2-4 times,0 times,0 times,0 times,0 times,0 times,2-4 times,2-4 times,0 times,0 times,0 times,2-4 times,2-4 times,2-4 times,0 times,0 times,0 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,"Yes, silent","Yes, silent","Yes, silent",No,"Yes, silent","Yes, silent","Yes, silent",No,No,No,No,No,Public,0 times,0 times,0 times,>4 times,Somewhat,12,No,Somewhat
yes,Freshman,2.787,Female,Asian,Yes,No,No,Natural Sciences,No,4,15,20,10,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yes,Senior,3.5,Male,White/Caucasian,Yes,Yes,No,Social Sciences,No,5,17,5,5,other,>1week,8,10,No,Regularly,5,8,9,no,No,Yes,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,"Yes, report","Yes, report","Yes, report","Yes, report","Yes, report","Yes, report","Yes, report","Yes, report",No,No,No,No,Private,0 times,0 times,0 times,0 times,Yes,99,Yes,Yes
yes,Freshman,3.4,Male,Asian,Yes,No,No,Social Sciences,No,5,18,10,4,pre-law,>1week,7,1,No,Never,5,5,5,no,No,No,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,1 time,0 times,0 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,"Yes, silent","Yes, silent",No,No,No,No,No,No,Maybe,Maybe,Maybe,Maybe,Public,0 times,0 times,0 times,0 times,Somewhat,99,Yes,Yes
yes,Sophomore,3.9,Male,White/Caucasian,Yes,Yes,Yes,Social Sciences,No,4,14,12,12,pre-law,2-3day,8,7,No,Never,5,5,7,no,Yes,No,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,unchecked,checked,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,"Yes, silent","Yes, silent",No,"Yes, silent","Yes, silent","Yes, silent","Yes, silent",No,No,No,No,No,Public,0 times,0 times,0 times,0 times,Yes,1,Yes,Somewhat
yes,Freshman,3.38,Female,Asian,Yes,Yes,No,Natural Sciences,No,4,15,20,10,pre-med,2-3day,8,0,No,Never,6,6,6,no,No,Yes,unchecked,checked,checked,unchecked,checked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,2-4 times,1 time,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,No,No,No,No,No,No,No,No,No,No,No,No,Public,0 times,0 times,0 times,>4 times,Somewhat,9,Yes,Somewhat
yes,Junior,2.97,Female,White/Caucasian,Yes,Yes,No,Natural Sciences,No,6,17,20,12,pre-med,2-3day,7,0,No,Never,7,7,8,yes,No,No,checked,checked,checked,unchecked,checked,unchecked,unchecked,0 times,0 times,0 times,0 times,0 times,2-4 times,2-4 times,0 times,0 times,0 times,2-4 times,2-4 times,2-4 times,0 times,0 times,0 times,2-4 times,2-4 times,2-4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,1 time,1 time,0 times,0 times,0 times,0 times,0 times,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,checked,checked,unchecked,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,"Yes, silent","Yes, silent","Yes, silent",No,"Yes, silent","Yes, silent","Yes, silent",No,No,No,No,No,Public,1 time,1 time,1 time,0 times,Yes,10,Yes,Yes
